¿Cuál es su nivel de experiencia en el uso de simuladores virtuales con fines educativos o de capacitación?;¿Cuál es su función dentro de las actividades académicas relacionadas con las prácticas de laboratorio de química?;La navegación dentro de la plataforma resultó intuitiva y fácil de comprender.;La organización de la interfaz facilitó el desarrollo de las actividades propuestas.;Las instrucciones proporcionadas para cada ensayo fueron claras y suficientes.;La interacción con los elementos virtuales fue sencilla de realizar.;Considera que la plataforma puede utilizarse sin requerir capacitación especializada previa.;Usabilidad;La representación visual del entorno de laboratorio es adecuada para el desarrollo de la práctica.;El comportamiento de la simulación resultó coherente durante la ejecución de las actividades experimentales.;Los recursos gráficos y visuales facilitaron la comprensión del procedimiento experimental.;La respuesta de la plataforma fue adecuada durante la interacción con la simulación.;La calidad técnica general de la plataforma es satisfactoria.;Calidad Tecnica;La secuencia de actividades presentada en la simulación refleja adecuadamente el procedimiento experimental.;Los materiales, equipos y elementos virtuales representan adecuadamente los recursos utilizados en un laboratorio de química.;La simulación reproduce de manera adecuada las etapas fundamentales de la práctica experimental.;La práctica virtual mantiene coherencia con las actividades que se desarrollan en un entorno de laboratorio real.;La simulación constituye una representación válida de la práctica experimental evaluada.;Fidelidad Experimental;Considera que QuimiLab puede incorporarse como recurso de apoyo para actividades académicas relacionadas con química experimental.;Utilizaría nuevamente la plataforma para desarrollar prácticas similares.;Recomendaría el uso de QuimiLab a otros miembros de la comunidad académica.;Considera pertinente continuar el desarrollo de nuevas prácticas dentro de la plataforma.;La plataforma posee potencial para evolucionar hacia un ecosistema más amplio de simuladores virtuales de laboratorio.;Aceptacion y proyeccion;La experiencia de uso de QuimiLab resultó motivadora e interesante.;Considera que la simulación facilitó o reforzó su comprensión del procedimiento experimental.;Le gustaría disponer de más prácticas virtuales similares dentro de su proceso de formación.;La plataforma podría utilizarse como actividad preparatoria antes de una sesión presencial de laboratorio.;La utilización de QuimiLab podría contribuir a optimizar el tiempo destinado a actividades experimentales presenciales.;Considera viable la incorporación de nuevas prácticas utilizando la misma arquitectura de simulación.;La plataforma presenta potencial para integrarse como recurso de apoyo dentro de actividades curriculares.;QuimiLab puede contribuir al fortalecimiento de estrategias de enseñanza apoyadas por tecnología.;Considera pertinente continuar el desarrollo institucional de la plataforma.
Avanzada;Estudiante;3;5;4;4;2;3,6;5;5;5;5;5;5;5;5;5;4;5;4,8;5;5;5;5;5;5;5;5;5;;;;;;
Básica;Instructor de laboratorio;2;3;4;2;2;2,6;4;4;2;4;4;3,6;4;4;4;4;2;3,6;4;4;3;4;4;3,8;;;;5;4;4;;;
Intermedia;Estudiante;3;3;4;3;2;3;5;5;4;5;4;4,6;5;5;5;5;5;5;5;5;5;5;4;4,8;5;5;5;;;;;;
Intermedia;Estudiante;3;4;4;2;2;3;4;3;4;4;2;3,4;5;4;4;4;4;4,2;4;4;4;4;5;4,2;5;4;4;;;;;;
Intermedia;Docente;5;4;4;5;5;4,6;4;4;5;5;4;4,4;5;5;4;5;5;4,8;5;4;5;4;5;4,6;;;;;;;5;5;5
Básica;Instructor de laboratorio;4;4;4;4;5;4,2;4;5;4;5;3;4,2;5;4;5;4;5;4,6;5;5;5;5;5;5;;;;5;4;5;;;
Ninguna;Instructor de laboratorio;3;3;3;3;2;2,8;3;4;2;4;4;3,4;2;2;4;4;4;3,2;4;4;4;4;4;4;;;;4;3;4;;;
Intermedia;Docente;4;2;4;4;4;3,6;4;3;4;4;3;3,6;5;5;4;4;4;4,4;5;5;4;5;5;4,8;;;;;;;5;5;5
Intermedia;Estudiante;5;5;5;5;4;4,8;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;;;;;;
Intermedia;Instructor de laboratorio;3;3;3;2;2;2,6;3;3;2;2;2;2,4;4;4;4;4;4;4;3;3;3;3;2;2,8;;;;2;2;3;;;
Intermedia;Instructor de laboratorio;3;4;4;3;2;3,2;4;4;4;4;4;4;4;4;4;4;4;4;4;3;5;4;4;4;;;;4;4;4;;;
Intermedia;Instructor de laboratorio;3;4;3;3;4;3,4;4;4;4;4;4;4;5;4;3;4;4;4;5;5;5;5;5;5;;;;4;4;3;;;
Intermedia;Instructor de laboratorio;4;4;4;4;5;4,2;4;4;4;4;4;4;5;4;4;5;4;4,4;5;5;5;5;5;5;;;;4;4;5;;;
Básica;Instructor de laboratorio;4;3;4;3;2;3,2;3;4;4;4;4;3,8;4;4;4;4;4;4;5;5;5;5;5;5;;;;5;5;5;;;
